ScaledForward,scaledLeftRightRatio,ScaledSpeed,isTurningLeft,isTurningRight,isKeepingStraight,isAccelerating
36.95743,0.5012694,67.93123,0,0,1,1
33.91678,0.4663348,68.20888,0,1,0,1
31.71554,0.4667234,64.03175,0,0,1,0
28.67327,0.4685098,61.53999,0,0,1,0
25.99917,0.4759338,56.54423,0,0,1,1
23.01941,0.4926167,53.31674,0,0,1,1
20.19339,0.5136697,49.89077,0,1,0,1
19.59121,0.5331062,50.8621,0,0,1,1
17.53848,0.5665613,51.10885,0,1,0,1
18.77139,0.5545581,51.61342,0,0,1,1
19.83029,0.5517118,52.60435,0,1,0,1
21.64485,0.4648933,52.50274,0,1,0,1
31.9623,0.4428943,52.95264,0,0,1,1
36.65536,0.4328487,52.95954,0,1,0,1
57.14508,0.4527812,53.70007,0,0,1,1
52.6521,0.4594389,54.68445,0,0,1,1
49.14777,0.4609327,55.73194,0,0,1,1
45.3877,0.4640589,56.78642,0,0,1,1
41.58422,0.4681232,57.73226,0,0,1,1
38.03908,0.4570594,58.75237,0,0,1,1
36.39286,0.4501697,59.16897,0,0,1,1
31.9149,0.4636058,60.12021,1,0,0,1
28.33721,0.4518362,60.76274,0,0,1,1
26.98246,0.4351088,60.50859,0,0,1,0
28.23044,0.4447608,54.40343,0,0,1,0
27.50647,0.4473748,50.70794,0,0,1,0
25.93626,0.4488932,44.81604,0,0,1,0
23.23738,0.4594242,41.84425,0,0,1,0
21.82836,0.4673659,36.98424,0,0,1,0
19.38942,0.4770728,32.16015,0,0,1,1
17.42144,0.4840473,29.21969,0,0,1,1
15.47896,0.1612153,26.67337,0,0,1,0
13.84688,0.1711912,21.30876,0,0,1,0
12.69028,0.02430174,16.0758,0,0,1,0
26.40272,0.519342,1.747188,0,0,1,1
26.27255,0.5197003,3.634862,0,0,1,1
26.0451,0.520194,5.275108,0,0,1,1
25.42041,0.5156445,6.748471,0,0,1,1
25.18746,0.5156477,8.506113,0,0,1,1
24.65775,0.5162129,10.21545,0,0,1,1
24.06889,0.5168769,11.73723,0,0,1,1
23.44892,0.5176223,13.37678,0,0,1,1
22.67551,0.5186328,14.98004,0,0,1,1
21.89064,0.5197602,16.40692,0,0,1,1
21.03199,0.5230793,17.52461,0,1,0,1
20.65015,0.540457,18.739,0,0,1,1
19.30378,0.5380169,20.26156,0,0,1,1
18.5474,0.5477158,20.91194,0,0,1,1
17.77326,0.5560814,22.15604,0,0,1,1
16.94303,0.5429603,23.62978,0,0,1,1
15.30008,0.5162348,24.39897,0,1,0,1
14.81243,0.5168641,25.75631,0,1,0,1
15.66126,0.5459155,26.66434,0,0,1,1
14.59742,0.5236891,27.64084,0,1,0,1
13.28115,0.4927468,27.91907,0,0,1,1
11.77522,0.4562337,28.4567,0,1,0,1
11.80754,0.4070848,29.15206,0,1,0,1
12.8062,0.4198548,30.30217,0,1,0,1
16.77074,0.4404417,31.24438,0,1,0,1
35.43085,0.4641916,32.16183,0,0,1,1
27.67735,0.4863908,33.0532,0,1,0,1
22.98029,0.5160794,33.70332,0,0,1,1
19.3496,0.5434569,34.75861,1,0,0,1
18.66967,0.5166119,33.20868,0,0,1,0
16.94748,0.5066157,31.73061,0,0,1,0
15.10587,0.5016934,30.97599,0,0,1,1
14.56316,0.4868755,32.1666,0,0,1,1
13.34947,0.4588062,33.87143,0,0,1,1
11.42435,0.4397187,34.80763,1,0,0,1
10.22649,0.4452631,35.97538,1,0,0,1
10.62979,0.4711038,37.2839,1,0,0,1
14.12521,0.4971075,38.32811,0,0,1,1
18.01149,0.532593,39.19582,0,0,1,1
19.69774,0.5543889,39.97828,1,0,0,1
34.73042,0.5607741,40.12845,0,0,1,1
35.45853,0.5746744,39.86141,0,0,1,1
35.59073,0.5792082,40.57356,0,0,1,1
36.25164,0.5696549,41.78318,1,0,0,1
43.95579,0.5128685,42.26414,1,0,0,1
68.59063,0.4211158,43.48708,0,0,1,1
65.45184,0.4057598,44.33694,0,1,0,1
66.37807,0.4653558,42.15372,0,0,1,0
65.69406,0.511748,41.24989,0,0,1,1
62.83495,0.526435,41.91228,0,0,1,1
57.43101,0.4948328,43.21527,0,0,1,1
53.50753,0.4872078,44.60476,0,0,1,1
47.97272,0.4745686,45.2047,0,0,1,1
38.63093,0.4561752,45.90686,0,0,1,0
